Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Categoría (product.metafields.custom.contexto),Bundle Discount Rate (product.metafields.c_f.bundle_discount_rate),Dimensiones (product.metafields.c_f.dimensions),Grouped Sub Product (product.metafields.c_f.grouped_sub_product),Material (product.metafields.c_f.material),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Tamaño de accesorio (product.metafields.shopify.accessory-size),Grupo de edad (product.metafields.shopify.age-group),Tipo de joyería corporal (product.metafields.shopify.body-jewelry-type),Diseño de la pulsera (product.metafields.shopify.bracelet-design),Tipo de eslabón de cadena (product.metafields.shopify.chain-link-type),Color (product.metafields.shopify.color-pattern),Diseño de aretes (product.metafields.shopify.earring-design),Color del instrumento (product.metafields.shopify.instrument-color),Material de joyería (product.metafields.shopify.jewelry-material),Tipo de joyería (product.metafields.shopify.jewelry-type),Material (product.metafields.shopify.material),Diseño de collar (product.metafields.shopify.necklace-design),Diseño de anillo (product.metafields.shopify.ring-design),Tamaño del anillo (product.metafields.shopify.ring-size),Sexo objetivo (product.metafields.shopify.target-gender),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Included / United States,Price / United States,Compare At Price / United States,Status
collar-orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO174PLXXW-Plateado-Collar-Orion-Uso-4.jpg?v=1771364553,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO174DOXXW-Dorado-Plateado-Collar-Orion-Ls-1.jpg?v=1771364553,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO174DOXXW-Dorado-Collar-Orion-Uso-4.jpg?v=1771364553,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO174DOXXW-Dorado-Collar-Orion-Uso-1.jpg?v=1771364553,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO174DOXXW-Dorado-Collar-Orion-Uso-2.jpg?v=1771364553,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO174DOXXW-Dorado-Collar-Orion-Uso-3.jpg?v=1771364553,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-orion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_d0b04d6e-b93c-49cb-971d-cd7d43d88b6d.jpg?v=1762276516,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-star-mini,Topitos de Seguridad Star Mini,"<p>Los <strong>Topitos de Seguridad Star Mini</strong>, pequeños, brillantes y llenos de significado. Su diseño en forma de estrella, con acabado pulido, aporta un toque sutil y elegante que se adapta a cualquier estilo. Al tacto, se sienten suaves y seguros, ideales para uso diario sin incomodidades.</p>
<p>Elaborados en <strong data-start=""365"" data-end=""392"">acero quirúrgico</strong>, ofrecen resistencia al agua, es <strong>hipoalergénico</strong> y un acabado pulido a mano que garantiza suavidad al contacto con la piel.</p>",Blunua,Ropa y accesorios > Joyería > Pendientes,Aretes Topitos de Seguridad,"Aretes Topitos, Aretes Topitos de Seguridad, Aretes topo estrella, Dorado, estrella, for her, Nexo, para ella, para ellas, Plateado, Regalos100W, Topitos, Topitos de Seguridad, Topitos de Seguridad Her, topitos estrella",TRUE,Color,Dorado,,,,,,,,TS037DOXXW,0,shopify,deny,manual,78000,,TRUE,TRUE,,,,,TS037DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS037DOXXW-Dorado-Topitos-de-seguridad-Star-Mini-Uso-1.jpg?v=1771251487,1,,FALSE,"Topitos de Seguridad Star Mini | Acero quirúrgico, Estrella, Minimalista","Topitos de seguridad Star Mini de Blunua en acero quirúrgico. Diseño minimalista en forma de estrella. Hipoalergénicos, resistentes al agua y cómodos para diario.",,,,,,,,,,,,mujer,,"<ul>
<li><strong>Diámetro</strong>:  3,8 mm Aprox.</li>
</ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,1,,adults; adultos,,,,plateado; gold; silver,stud,,acero-inoxidable; stainless-steel,fine-jewelry; joyeria-fina,acero-inoxidable,,,,female; femenino,,,ahead,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS037DOXXW-Dorado-Topitos-de-seguridad-Star-Mini-Uso-1.jpg?v=1771251487,g,,,TRUE,,,TRUE,,,active
topitos-de-seguridad-star-mini,,,,,,,,,Plateado,,,,,,,,TS037PLXXW,0,shopify,deny,manual,78000,,TRUE,TRUE,,,,,TS037PLXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS037DOXXW-Dorado-Topitos-de-Seguridad-Star-Mini-Ls-1_85831674-3df7-4ccd-a2a2-8ae61e54dd82.jpg?v=1771251487,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS037PLXXW-Plateado-Topitos-de-seguridad-Star-Mini-Ls-1.jpg?v=1771251487,g,,,,,,,,,
topitos-de-seguridad-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS037PLXXW-Plateado-Topitos-de-seguridad-Star-Mini-Uso-1.jpg?v=1771251487,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS037PLXXW-Plateado-Topitos-de-seguridad-Star-Mini-Ls-1.jpg?v=1771251487,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS037PLXXW-Plateado-Topitos-de-seguridad-Star-Mini-Ls-2.jpg?v=1771251487,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_880aea4f-ddb3-43ef-a2a0-edefd1dc2842.jpg?v=1771251416,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-rose,Topitos de Seguridad Rosé,"<p>Los <strong>Topitos de Seguridad Rose</strong> combinan funcionalidad y dulzura en una pieza esencial. Su diseño en forma de corazón, con un tono rosa claro y acabado brillante, suaviza el rostro con delicadeza y ternura. Son perfectos para quienes buscan comodidad sin perder ese toque romántico y femenino. Puedes llevarlos como protagonistas o mezclarlos con otros aretes pequeños para crear un estilo más personal y expresivo.</p>
<p>Fabricados en <strong>acero quirúrgico hipoalergénico,</strong> son resistentes al agua y están pulidos a mano, lo que garantiza durabilidad, seguridad y un acabado impecable para acompañarte en cada momento especial.<br></p>
",Blunua,Ropa y accesorios > Joyería > Pendientes,Aretes Topitos de Seguridad,"Aretes Topitos, Aretes Topitos de Seguridad, Corazon, Corazoncito, Dorado, for her, Nexo, para ella, para ellas, Plateado, Regalos100W, Topitos, Topitos corazón, Topitos de Seguridad, Topitos de Seguridad her",TRUE,Color,Dorado,,,,,,,,TS039DOXXW,0,shopify,deny,manual,84000,,TRUE,TRUE,,,,,TS039DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS039DOXXW-Dorado-Topitos-de-Seguridad--Rose-Uso-1_2cd0723e-0ae2-41b9-8ea5-139e27a8b128.jpg?v=1766085814,1,,FALSE,Topitos de Seguridad Rosé | Acero quirúrgico hipoalergénico Corazón,"Topitos de seguridad Rosé Blunua en acero quirúrgico hipoalergénico. Diseño en corazón brillante. Resistentes al agua, cómodos, duraderos y seguros. Versátiles.",,,,,,,,,,,,mujer,,"  <p><ul>
    <li><strong>Largo</strong>: 1 cm aprox</li>
    <li><strong>Diámetro</strong>: 6 mm aprox</li>
    <p></ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,1,,adultos; adults,,,,rosa; dorado; plateado; gold; silver; geometric,stud,,acero-inoxidable; stainless-steel,joyeria-fina; fine-jewelry,acero-inoxidable,,,,femenino; female,,,ahead,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS039DOXXW-Dorado-Topitos-de-Seguridad--Rose-Uso-1_2cd0723e-0ae2-41b9-8ea5-139e27a8b128.jpg?v=1766085814,g,,,TRUE,,,TRUE,,,active
topitos-de-seguridad-rose,,,,,,,,,Plateado,,,,,,,,TS039PLXXW,0,shopify,deny,manual,84000,,TRUE,TRUE,,,,,TS039PLXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS039DOXXW-Dorado-Topitos-de-Seguridad--Rose-Ls-1.jpg?v=1766085814,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS039PLXXW-Plateado-Topitos-de-Seguridad-Rose-Uso-1.jpg?v=1771280045,g,,,,,,,,,
topitos-de-seguridad-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS039PLXXW-Plateado-Topitos-de-Seguridad-Rose-Uso-1.jpg?v=1771280045,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS039PLXXW-Plateado-Topitos-de-Seguridad-Rose-Ls-1.jpg?v=1771280045,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_aaf06574-568d-4c5d-a1f8-a5f56d668605.jpg?v=1762444492,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-fucsia,Topitos de Seguridad Fucsia,"<p data-end=""856"" data-start=""510""><!--StartFragment --></p>
<p>Los <strong>Topitos de seguridad Fucsia </strong>combinan funcionalidad y encanto en una pieza esencial. Su diseño en forma de corazón, con un tono fucsia intenso y acabado brillante, ilumina el rostro, perfectos para quienes buscan comodidad sin renunciar al estilo. Puedes usarlos como pieza principal o combinarlos con otros aretes pequeños para crear un look más expresivo.</p>
<p>Fabricado en <strong>acero quirúrgico hipoalergénico</strong>, es <strong>resistente al agua</strong> y está pulido a mano, garantizando durabilidad y un acabado impecable para acompañarte en cada ocasión.</p>
",Blunua,Ropa y accesorios > Joyería > Pendientes,Aretes Topitos,"Aretes Topitos, Aretes Topitos de Seguridad, Corazon, Corazoncito, Dorado, for her, Nexo, para ella, para ellas, Plateado, Regalos100W, Topitos corazón, Topitos de Seguridad, Topitos de Seguridad Her",TRUE,Color,Plateado,,,,,,,,TS038PLXXW,0,shopify,deny,manual,84000,,TRUE,TRUE,,,,,TS038PLXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS038PLXXW-Plateado-Topitos-de-Seguridad--Fucsia-Ls-1.jpg?v=1771276852,1,,FALSE,Topitos de Seguridad Fucsia | Acero Quirúrgico Corazón Fucsia Brillante,"Los Topitos de seguridad Fucsia de Bunua en acero quirúrgico con diseño de corazón brillante. Hipoalergénicos, seguros y resistentes al agua. Comodidad y encanto.",,,,,,,,,,,,mujer,,"  <p><ul>
  <li><strong>Grosor:</strong> 1.35 mm</li>
  <li><strong>Alto:</strong> 6 mm</li>
  <li><strong>Grosor Palito:</strong> 1 mm</li>
      <p></ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,2,,adults; adultos,,,,rosa; dorado; plateado; gold; silver; pink,stud,,acero-inoxidable; stainless-steel,joyeria-fina; fine-jewelry,acero-inoxidable,,,,female; femenino,,,ahead,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS038PLXXW-Plateado-Topitos-de-Seguridad--Fucsia-Ls-1.jpg?v=1771276852,g,,,TRUE,,,TRUE,,,active
topitos-de-seguridad-fucsia,,,,,,,,,Dorado,,,,,,,,TS038DOXXW,0,shopify,deny,manual,84000,,TRUE,TRUE,,,,,TS038DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS038DOXXW-Dorado-Topitos-de-Seguridad--Fucsia-Ls-2.jpg?v=1761068012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS038DOXXW-Dorado-Topitos-de-Seguridad--Fucsia-Ls-2.jpg?v=1761068012,g,,,,,,,,,
topitos-de-seguridad-fucsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS038DOXXW-Plateado-Topitos-de-Seguridad-Fucsia-Uso-2.jpg?v=1771276852,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-fucsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS038DOXXW-Dorado-Topitos-de-Seguridad--Fucsia-Uso-1.jpg?v=1771276852,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-fucsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_7b0938f9-715a-4214-851d-8e72aa962003.jpg?v=1762443220,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anillo-esfera,Anillo Esfera,"<p data-end=""508"" data-start=""265"">El <strong data-end=""283"" data-start=""268"">Anillo Esfera</strong> une lo moderno y lo elegante en un solo diseño. Sutil y cómodo de llevar, este anillo es ideal tanto para destacar por sí solo como para combinar con otras joyas y lograr un look personalizado. <br><br>Fabricado en <strong>acero quirúrgico hipoalergénico</strong>, es <strong>resistente al agua</strong> y está pulido a mano, garantizando durabilidad y un acabado impecable para acompañarte siempre.</p>",Blunua,Ropa y accesorios > Joyería > Anillos,Anillos delgados,"6, 7, 8, Anillo, Anillo delicado, Anillos, Anillos Delgados, Anillos Delgados Her, Anillos for her, delgados, Dorado, for her, Nexo, para ella, para ellas, Plateado, Regalos100W",TRUE,Color,Dorado,,Talla,6,,,,,AN092DO06W,0,shopify,deny,manual,76000,,TRUE,TRUE,,,,,AN092DO06W,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092DO08W-Dorado-Anillo-Esfera-Uso-2.jpg?v=1761142659,1,,FALSE,Anillo Esfera | Acero Quirúrgico Minimalista y Resistente,"Anillo Esfera de Blunua en acero quirúrgico pulido a mano. Diseño delgado y moderno, hipoalergénico y resistente al agua. Elegancia, comodidad y durabilidad.",,,,,,,,,,,,mujer,,"<ul>
<li>Ancho: 1.6 mm</li>
</ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,1,,adults; adultos,,,,dorado; plateado,,,stainless-steel; acero-inoxidable,fine-jewelry; joyeria-fina,,,delgado,6; 7; 8,femenino; female,medidor-de-anillos,anillo-alis; anillo-bend; anillo-cosmos; anillo-dome,ahead,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092DO08W-Dorado-Anillo-Esfera-Uso-2.jpg?v=1761142659,g,,,TRUE,,,TRUE,,,active
anillo-esfera,,,,,,,,,Dorado,,,7,,,,,AN092DO07W,0,shopify,deny,manual,76000,,TRUE,TRUE,,,,,AN092DO07W,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092PL08W-Dorado-Anillo-Esfera-Ls-2.jpg?v=1762266769,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092DO08W-Dorado-Anillo-Esfera-Uso-2.jpg?v=1761142659,g,,,,,,,,,
anillo-esfera,,,,,,,,,Dorado,,,8,,,,,AN092DO08W,0,shopify,deny,manual,76000,,TRUE,TRUE,,,,,AN092DO08W,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092PL08W-Dorado-Anillo-Esfera-Ls-1_6f15981a-69a2-46e7-98f2-511106cfde16.jpg?v=1762266769,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092DO08W-Dorado-Anillo-Esfera-Uso-2.jpg?v=1761142659,g,,,,,,,,,
anillo-esfera,,,,,,,,,Plateado,,,6,,,,,AN092PL06W,0,shopify,deny,manual,76000,,TRUE,TRUE,,,,,AN092PL06W,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092PL07W-Plateado-Anillo-Esfera-Ls-1.jpg?v=1762266769,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092PL07W-Plateado-Anillo-Esfera-Ls-1.jpg?v=1762266769,g,,,,,,,,,
anillo-esfera,,,,,,,,,Plateado,,,7,,,,,AN092PL07W,0,shopify,deny,manual,76000,,TRUE,TRUE,,,,,AN092PL07W,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092PL08W-Plateado-Anillo-Esfera-Uso-3_0cb58ac0-eef0-4f5d-8cff-6d7cf82b4b07.jpg?v=1762266769,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092PL07W-Plateado-Anillo-Esfera-Ls-1.jpg?v=1762266769,g,,,,,,,,,
anillo-esfera,,,,,,,,,Plateado,,,8,,,,,AN092PL08W,0,shopify,deny,manual,76000,,TRUE,TRUE,,,,,AN092PL08W,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092PL08W-Plateado-Anillo-Esfera-Uso-1_c86cbc52-4951-4db0-86e8-f053c6bb82bb.jpg?v=1762266769,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AN092PL07W-Plateado-Anillo-Esfera-Ls-1.jpg?v=1762266769,g,,,,,,,,,
anillo-esfera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_6689ec46-ebab-41a3-a782-64f33d2ec928.jpg?v=1762266769,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-star-mini,Collar Star Mini,"<p class=""MsoNormal"">El Collar <strong>Star Mini</strong> captura la esencia de lo sutil: pequeño, pero con gran presencia. <!--StartFragment -->Su cadena sostiene dos dijes: una <strong>estrella de cinco puntas</strong> y un <strong>óvalo central con ópalo</strong>, que refleja tonos suaves. Es ideal para quienes buscan un accesorio pequeño pero expresivo, perfecto para el uso diario o como detalle luminoso en un look más cuidado.</p>
<p class=""MsoNormal""><!--EndFragment --></p>
<p class=""MsoNormal"">Hechas en <strong>acero quirúrgico</strong>, son <strong>hipoalergénicas</strong>, <strong>resistentes al agua y pulidas a mano</strong>, garantizando una durabilidad excepcional y una apariencia impecable con el paso del tiempo.</p>
",Blunua,Ropa y accesorios > Joyería > Collares,Collares,"Collar, Collar corto, collar for her, Collares, Collares Midi, Collares Midis, Collares Midis Her, Dorado, estrella, for her, Midi, midis, Nexo, para ella, para ellas, Plateado, Regalos100W",TRUE,Color,plateado,product.metafields.shopify.color-pattern,,,,,,,CO206PLXXW,0,shopify,deny,manual,98000,,TRUE,TRUE,,,,,CO206PLXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO206PLXXW-Plateado-Collar-Star-Mini-Uso-1.jpg?v=1768596746,1,,FALSE,"Collar Star Mini | Acero quirúrgico, Dijes Estrella y ópalo, Minimalista","Collar Star Mini de Blunua en acero quirúrgico. Dije Estrella y ópalo. Hipoalergénico, resistente al agua y con brillo duradero. Minimalista, Versátil, Liviano",,,,,,,,,,,,mujer,,"<ul>
<li>Largo: 38 cm<br>
</li>
</ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,1,,adultos; adults,,,,plateado; dorado,,,acero-inoxidable; stainless-steel,joyeria-fina; fine-jewelry,acero-inoxidable,colgante; chain; cadena,,,femenino; female,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO206PLXXW-Plateado-Collar-Star-Mini-Uso-1.jpg?v=1768596746,g,,,TRUE,,,TRUE,,,active
collar-star-mini,,,,,,,,,dorado,,,,,,,,CO206DOXXW,0,shopify,deny,manual,98000,,TRUE,TRUE,,,,,CO206DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO206PLXXW-Plateado-Collar-Star-Mini-Ls-2.jpg?v=1768596746,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO206DOXXW-Dorado-Collar-Star-Mini-Uso-1.jpg?v=1768596746,g,,,,,,,,,
collar-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO206DOXXW-Dorado-Collar-Star-Mini-Uso-1.jpg?v=1768596746,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO206DOXXW-Dorado-Collar-Star-Mini-Ls-1.jpg?v=1768596746,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO206DOXXW-Dorado-Collar-Star-Mini-Uso-3.jpg?v=1768596746,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO206PLXXW-Plateado-Collar-Star-Mini-Uso-2.jpg?v=1761077682,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-star-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_3bfe3c77-18d8-46c9-b7c8-69d3c50c11ee.jpg?v=1761077682,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
personalizado-3,Personalizado 3,<p></p>,Blunua,,Partes,,FALSE,Title,Default Title,,,,,,,,PE003XXXXW,0,,deny,manual,30000,,TRUE,TRUE,,,,,PE003XXXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_779af242-4864-4973-8b28-62e9456c3ce7.jpg?v=1760731019,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,active
personalizado-2,Personalizado 2,<p></p>,Blunua,,Partes,,FALSE,Title,Default Title,,,,,,,,PE002XXXXW,0,shopify,deny,manual,20000,,TRUE,TRUE,,,,,PE002XXXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_1776d90f-7962-41d5-9739-681f0ca687a3.jpg?v=1760731037,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,active
